Nation,Player,Pos,Squad,Min,90s,Gls,Ast,xG,xAG,PrgC,PrgP,PrgR,Sh,SoT,Cmp%,KP,PPA,Tkl,TklW,Int,Tkl+Int,Clr,Touches,Succ,Succ%,Carries,Rec,Fls
br BRA,Arthur,DF,Leverkusen,752,8.4,0,1,0.1,0.4,15,25,53,1,0,78.9,2,7,14,11,9,23,29,508,5,20.8,242,309,20
jp JPN,Takuma Asano,"FW,MF",Mallorca,1054,11.7,2,1,2.7,0.7,28,20,76,28,8,67.6,6,3,13,9,6,19,9,356,6,24.0,207,226,5
es ESP,Raúl Asencio,DF,Real Madrid,1670,18.6,0,1,0.1,0.6,5,27,4,3,1,93.8,6,3,22,16,16,38,88,1149,6,66.7,720,807,12
es ESP,Marco Asensio,MF,Aston Villa,743,8.3,3,1,4.4,1.0,22,45,38,22,9,77.3,16,11,7,5,2,9,3,386,12,63.2,242,265,11
es ESP,Marco Asensio,"FW,MF",Paris S-G,618,6.9,2,4,5.6,2.7,19,36,49,26,14,86.9,16,4,4,3,0,4,1,377,4,50.0,260,324,1
al ALB,Kristjan Asllani,MF,Inter,980,10.9,2,2,2.5,1.9,7,55,20,14,3,89.2,15,18,14,3,9,23,13,1061,1,16.7,700,859,8
es ESP,Iago Aspas,"FW,MF",Celta Vigo,1745,19.4,10,5,8.7,4.6,50,132,143,46,18,75.4,38,35,13,8,8,21,5,1038,15,55.6,724,876,16
co COL,Yaser Asprilla,"FW,MF",Girona,1405,15.6,3,1,2.1,2.8,72,77,140,38,11,72.1,24,38,22,12,7,29,7,831,29,45.3,534,607,12
tg TOG,Lorenz Assignon,"DF,MF",Rennes,2357,26.2,3,4,2.2,3.5,98,116,206,22,5,78.0,29,28,49,27,25,74,74,1638,28,36.4,807,1006,52
fr FRA,Dehmaine Assoumani,"MF,FW",Nantes,98,1.1,0,0,0.1,0.9,4,1,15,3,2,76.0,5,2,6,3,1,7,4,77,3,50.0,48,49,1
fr FRA,Valentin Atangana Edoa,MF,Reims,2854,31.7,1,0,2.5,1.1,41,93,38,33,6,86.0,12,8,69,50,37,106,64,1433,14,29.2,735,889,57
fr FRA,Arthur Atta,"MF,FW",Udinese,1251,13.9,0,1,1.3,1.4,31,57,77,26,7,80.4,18,8,20,12,7,27,15,813,27,44.3,515,593,16
de GER,Noah Atubolu,GK,Freiburg,2307,25.6,0,0,0.0,0.0,0,2,0,0,0,74.5,0,1,0,0,0,0,13,1198,0,,680,680,0
id IDN,Emil Audero,GK,Como,720,8.0,0,0,0.0,0.0,0,0,0,0,0,82.6,0,0,0,0,0,0,4,269,0,,177,162,0
it ITA,Tommaso Augello,DF,Cagliari,2713,30.1,0,7,0.3,4.6,58,118,113,8,0,71.9,39,38,49,28,16,65,109,1902,24,55.8,882,1020,15
br BRA,Carlos Augusto,DF,Inter,1625,18.1,3,2,2.8,1.6,31,80,83,24,6,88.3,9,12,29,14,9,38,50,1413,7,58.3,837,997,9
de GER,Yann Aurel Bisseck,DF,Inter,1553,17.3,3,2,2.6,0.9,32,93,44,21,5,91.8,7,7,17,11,17,34,64,1465,3,20.0,998,1136,15
eng ENG,Brandon Austin,GK,Tottenham,90,1.0,0,0,0.0,0.0,0,0,0,0,0,68.8,0,0,0,0,0,0,1,36,0,,22,16,0
ar ARG,Ezequiel Ávila,FW,Betis,677,7.5,2,0,1.5,1.0,12,18,48,20,10,69.7,15,11,8,3,2,10,8,323,5,45.5,173,216,13
ng NGA,Taiwo Awoniyi,FW,Nott'ham Forest,416,4.6,1,0,2.1,0.1,6,7,20,10,4,63.5,2,2,6,3,0,6,7,167,4,44.4,90,113,8
se SWE,Yasin Ayari,MF,Brighton,1965,21.8,2,1,2.4,2.3,30,75,61,28,8,81.5,30,18,59,32,20,79,26,1233,18,40.0,655,801,37
fr FRA,Florian Ayé,FW,Auxerre,575,6.4,2,0,1.9,0.1,5,7,30,12,3,73.6,3,2,2,2,7,9,6,187,2,100.0,89,127,10
gh GHA,André Ayew,FW,Le Havre,1453,16.1,4,1,4.3,0.2,5,18,43,22,9,76.1,8,3,18,10,3,21,21,378,5,38.5,159,226,19
gh GHA,Jordan Ayew,"FW,MF",Crystal Palace,21,0.2,0,0,0.5,0.0,0,0,1,1,0,80.0,1,0,1,0,0,1,0,12,0,,6,9,1
gh GHA,Jordan Ayew,"FW,MF",Leicester City,1638,18.2,5,0,3.2,1.1,49,46,86,31,8,74.3,16,14,27,15,12,39,19,798,26,40.6,479,540,30
fr FRA,Neil El Aynaoui,MF,Lens,1588,17.6,8,1,4.0,2.0,11,75,29,16,7,84.5,22,7,39,21,30,69,29,1196,5,23.8,582,761,34
ma MAR,Ayman Azhil,MF,Dortmund,24,0.3,0,0,0.0,0.0,0,1,1,0,0,75.0,0,0,1,1,0,1,0,9,0,0.0,4,5,2
ma MAR,Adam Aznou,DF,Valladolid,876,9.7,0,0,0.3,0.3,16,25,26,4,1,71.4,6,4,28,21,10,38,30,508,19,46.3,219,228,14
ma MAR,Adam Aznou,DF,Bayern Munich,17,0.2,0,0,0.0,0.0,0,1,2,0,0,76.5,0,0,0,0,0,0,1,18,0,,12,14,0
es ESP,César Azpilicueta,DF,Atlético Madrid,875,9.7,1,0,0.2,0.1,13,66,20,5,2,86.6,3,4,25,14,5,30,32,759,1,50.0,432,516,8
br BRA,Paulo Azzi,DF,Cagliari,426,4.7,0,0,0.5,0.9,15,13,26,8,3,70.0,5,6,11,9,5,16,11,242,8,61.5,119,135,5
ma MAR,Oussama El Azzouzi,MF,Bologna,19,0.2,0,0,0.0,0.0,0,4,0,0,0,94.4,0,0,0,0,2,2,0,20,0,,14,18,0
es ESP,Papa Ba,MF,Girona,48,0.5,0,0,0.0,0.0,1,0,2,1,0,38.5,0,0,1,1,0,1,1,20,1,50.0,9,14,1
ga GAB,Shavy Babicka,"MF,FW",Toulouse,1186,13.2,4,2,3.9,1.6,36,21,122,20,9,67.1,13,13,21,12,3,24,4,428,11,29.7,273,300,16
it ITA,Jacopo Bacci,MF,Empoli,31,0.3,0,0,0.0,0.0,0,1,0,0,0,54.5,0,0,1,0,1,2,1,14,0,,5,5,0
gn GUI,Aliou Badara Baldé,"MF,FW",Bochum,91,1.0,0,0,0.2,0.2,2,1,5,4,1,55.0,2,2,1,1,0,1,0,43,2,22.2,30,29,1
fr FRA,Loïc Bade,DF,Sevilla,2686,29.8,1,1,0.6,0.7,11,62,6,13,4,85.7,4,3,47,27,29,76,162,2135,17,77.3,1173,1463,26
hr CRO,Milan Badelj,MF,Genoa,1472,16.4,1,0,1.0,1.1,8,83,14,14,2,81.5,12,10,29,16,20,49,43,1014,9,45.0,499,658,18
fr FRA,Benoît Badiashile,DF,Chelsea,334,3.7,0,0,0.0,0.0,3,17,2,0,0,89.8,0,1,9,6,6,15,12,336,0,0.0,177,247,6
es ESP,Alex Baena,"MF,FW",Villarreal,2595,28.8,7,9,7.1,11.7,91,189,154,69,17,66.6,95,72,28,15,22,50,22,1569,21,37.5,895,1044,43
sl SLE,Juma Bah,DF,Valladolid,864,9.6,0,0,0.3,0.0,0,13,1,3,1,81.1,1,0,10,7,12,22,60,523,3,75.0,265,316,6
sl SLE,Juma Bah,DF,Lens,686,7.6,0,0,0.1,0.2,3,9,1,2,1,93.4,2,0,16,10,17,33,47,480,3,100.0,265,279,7
jm JAM,Leon Bailey,"FW,MF",Aston Villa,1139,12.7,1,2,1.7,1.5,58,35,121,28,6,71.0,16,20,7,5,3,10,12,545,22,38.6,348,390,12
ci CIV,Eric Bailly,DF,Villarreal,617,6.9,0,0,0.3,0.0,1,18,0,4,0,87.5,0,0,12,4,6,18,29,394,3,100.0,200,251,7
ca CAN,Theo Bair,FW,Auxerre,939,10.4,2,1,3.0,1.2,15,16,42,26,13,62.0,10,0,4,3,3,7,10,306,2,25.0,143,218,20
es ESP,Stefan Bajcetic,"MF,DF",Las Palmas,969,10.8,1,0,0.3,0.2,8,39,9,5,2,71.8,7,8,29,14,15,44,26,570,11,45.8,238,293,21
cd COD,Cédric Bakambu,FW,Betis,710,7.9,2,2,3.2,0.6,9,14,43,24,11,66.7,8,5,6,4,0,6,5,226,1,14.3,113,157,23
nl NED,Mitchel Bakker,MF,Atalanta,22,0.2,0,0,0.0,0.0,0,1,1,0,0,77.8,0,0,1,0,0,1,0,10,0,,6,7,1
nl NED,Mitchel Bakker,"FW,DF",Lille,1139,12.7,3,2,3.0,2.7,43,57,120,23,10,77.8,23,27,23,13,12,35,15,758,11,52.4,439,547,18
fr FRA,Darryl Bakola,"DF,MF",Marseille,14,0.2,0,0,0.0,0.0,0,0,0,0,0,92.3,0,0,1,1,0,1,0,15,0,0.0,9,14,3
de GER,Ridle Baku,"FW,MF",Wolfsburg,1170,13.0,2,1,1.5,1.3,16,44,78,18,6,74.1,13,14,23,15,15,38,15,646,9,45.0,352,391,13
de GER,Ridle Baku,"DF,MF",RB Leipzig,1275,14.2,2,3,1.4,1.5,21,41,97,17,5,75.2,14,17,24,19,9,33,45,796,16,66.7,383,503,13
fr FRA,Dilane Bakwa,"MF,DF",Strasbourg,2497,27.7,6,8,4.7,6.6,107,129,249,52,22,72.9,47,40,26,14,15,41,27,1420,50,39.4,890,1046,29
it ITA,Tommaso Baldanzi,"MF,FW",Roma,832,9.2,1,1,1.4,1.0,39,23,57,20,4,84.0,10,6,12,4,6,18,8,472,17,43.6,292,335,7
es ESP,Alejandro Balde,DF,Barcelona,2284,25.4,0,4,0.5,3.4,107,93,246,12,3,88.0,26,39,18,10,5,23,27,1721,46,41.8,1075,1245,16
sn SEN,Keita Baldé,FW,Monza,638,7.1,2,0,1.1,0.2,19,35,29,14,5,89.2,4,8,1,1,2,3,0,289,5,31.3,216,255,7
cm CMR,Carlos Baleba,MF,Brighton,2661,29.6,3,1,3.1,1.3,43,118,29,44,11,87.4,21,23,79,46,46,125,44,1697,33,57.9,971,1035,40
ar ARG,Leonardo Balerdi,DF,Marseille,2273,25.3,0,0,0.9,0.7,13,105,5,15,1,93.8,8,6,54,39,38,92,72,2767,22,68.8,1752,2183,28
al ALB,Iván Balliu,DF,Rayo Vallecano,1200,13.3,0,0,0.0,0.5,8,46,21,1,0,75.8,7,6,17,14,13,30,39,762,3,50.0,326,379,19
sn SEN,Fodé Ballo-Touré,"DF,MF",Le Havre,589,6.5,0,0,0.0,0.1,15,13,14,0,0,83.3,1,2,8,7,4,12,27,377,5,35.7,163,201,3
hu HUN,Botond Balogh,DF,Parma,2053,22.8,0,1,0.4,0.1,7,37,1,3,0,89.3,2,0,36,16,25,61,141,1228,0,,621,725,17
us USA,Folarin Balogun,FW,Monaco,615,6.8,4,0,4.8,0.9,21,9,73,31,10,68.0,6,1,1,1,1,2,0,220,4,22.2,143,178,7
it ITA,Mario Balotelli,"FW,MF",Genoa,62,0.7,0,0,0.0,0.0,0,1,5,2,0,26.7,0,0,0,0,0,0,1,23,0,,10,16,2
ci CIV,Abdoulaye Bamba,DF,Angers,1510,16.8,0,0,0.1,0.3,1,16,3,1,0,88.5,6,4,22,12,19,41,79,743,2,100.0,408,468,10
ci CIV,Jonathan Bamba,"FW,MF",Celta Vigo,811,9.0,0,1,0.8,1.8,31,30,71,13,6,78.8,12,13,12,7,5,17,6,468,15,39.5,307,351,7
ci CIV,Mohamed Bamba,MF,Reims,10,0.1,0,0,0.0,0.0,0,3,0,0,0,84.2,0,0,0,0,0,0,1,22,0,,14,17,0
de GER,Samuel Bamba,"FW,MF",Bochum,27,0.3,0,0,0.1,0.0,3,5,8,2,1,77.3,1,4,1,1,0,1,0,31,1,25.0,20,22,0
zm ZAM,Lameck Banda,"FW,MF",Lecce,610,6.8,0,1,1.2,1.1,27,7,46,17,4,77.2,11,8,8,5,2,10,8,252,10,35.7,169,171,10
pt POR,Daniel Bandeira,MF,Hellas Verona,407,4.5,0,0,0.0,0.1,1,25,4,2,1,82.6,3,1,4,0,6,10,8,266,1,100.0,148,167,4
it ITA,Mattia Bani,DF,Genoa,1507,16.7,0,0,1.2,0.2,6,25,3,8,3,87.4,2,2,19,10,22,41,85,1048,2,40.0,558,699,7
us USA,Noahkai Banks,DF,Augsburg,278,3.1,0,0,0.1,0.0,2,8,3,1,0,92.9,0,1,11,5,5,16,28,229,0,0.0,123,129,2
sct SCO,Scott Banks,"FW,MF",St. Pauli,116,1.3,0,0,0.3,0.0,3,1,8,3,0,63.6,0,1,1,1,2,3,2,48,2,28.6,24,28,2
es ESP,Adrian Baquerin,FW,Valladolid,49,0.5,0,0,0.4,0.0,0,1,0,3,0,90.0,0,1,1,1,0,1,1,18,0,0.0,10,11,0
cz CZE,Antonín Barák,MF,Fiorentina,54,0.6,0,0,0.1,0.3,2,2,5,2,2,85.0,3,1,2,0,0,2,0,25,0,0.0,20,20,0
it ITA,Federico Barba,DF,Como,431,4.8,0,0,0.2,0.0,5,25,5,2,1,88.4,0,2,2,2,4,6,15,320,0,,201,215,3
ar ARG,Valentín Barco,"DF,FW",Sevilla,288,3.2,0,0,0.3,0.6,4,13,13,7,0,72.8,6,3,15,9,2,17,5,236,3,23.1,124,142,7
ar ARG,Valentín Barco,"MF,DF",Strasbourg,1157,12.9,0,2,0.5,1.5,20,64,55,10,1,82.9,8,9,36,22,13,49,28,928,9,45.0,513,632,17
fr FRA,Bradley Barcola,FW,Paris S-G,2181,24.2,14,10,13.4,10.1,137,96,374,74,38,81.7,50,51,27,17,19,46,12,1278,34,24.8,855,1019,30
fr FRA,Melvin Bard,"DF,MF",Nice,1938,21.5,2,1,2.2,1.9,53,88,95,23,8,77.4,15,26,53,36,29,82,60,1436,22,44.9,778,858,17
it ITA,Nicolò Barella,MF,Inter,2456,27.3,3,6,2.2,4.5,63,235,133,42,9,82.1,55,54,50,31,12,62,16,2064,23,40.4,1393,1612,25
ch SUI,Gabriel Bares,"MF,DF",Montpellier,56,0.6,0,0,0.0,0.0,1,3,0,0,0,85.0,0,0,2,2,1,3,3,49,1,50.0,27,33,0
hr CRO,Borna Barišić,DF,Leganés,9,0.1,0,0,0.0,0.0,0,0,0,0,0,75.0,0,0,0,0,0,0,0,4,0,,2,3,0
fr FRA,Téo Barisic,DF,Lyon,2,0.0,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,1,2,0,,1,1,0
es ESP,Kike Barja,"FW,MF",Osasuna,315,3.5,0,1,0.2,1.2,22,4,39,4,1,64.9,10,8,5,4,3,8,4,167,7,43.8,102,111,9
eng ENG,Ross Barkley,MF,Aston Villa,581,6.5,3,1,1.8,0.6,15,36,10,16,5,85.3,9,6,14,3,10,24,5,464,12,75.0,277,328,8
ma MAR,Aymen Barkok,MF,Mainz 05,73,0.8,0,0,0.0,0.1,2,5,6,0,0,70.3,1,3,2,1,2,4,0,47,0,0.0,22,29,2
eng ENG,Harvey Barnes,FW,Newcastle Utd,1755,19.5,9,4,7.2,4.0,93,83,192,63,20,78.1,26,41,16,9,6,22,15,810,24,37.5,561,647,15
ar ARG,Enzo Barrenechea,MF,Valencia,2191,24.3,1,2,1.3,0.9,21,126,16,16,3,86.5,15,7,57,30,28,85,48,1601,11,35.5,762,1068,25
es ESP,Ander Barrenetxea,"MF,FW",Real Sociedad,1263,14.0,1,3,1.6,1.9,43,48,152,25,8,70.9,16,22,26,19,11,37,16,751,26,37.7,470,522,33
es ESP,Pablo Barrios,MF,Atlético Madrid,2330,25.9,1,4,1.3,2.4,29,142,69,29,8,86.0,26,24,46,26,34,80,33,1784,25,59.5,1119,1308,28
fr FRA,Thierno Barry,FW,Villarreal,2323,25.8,11,4,12.5,2.9,44,27,124,71,24,62.0,23,12,11,8,0,11,19,624,18,36.0,347,485,47
it ITA,Davide Bartesaghi,DF,Milan,118,1.3,0,0,0.0,0.1,2,2,17,1,1,85.5,2,3,4,2,3,7,1,89,0,0.0,55,61,1
es ESP,Marc Bartra,DF,Betis,2099,23.3,2,1,1.2,0.2,7,68,1,18,5,81.3,4,5,33,19,33,66,148,1483,7,46.7,804,903,15
it ITA,Federico Baschirotto,DF,Lecce,3420,38.0,2,0,1.2,0.2,13,71,5,22,8,86.2,4,5,37,25,23,60,237,2043,4,80.0,940,1157,31
it ITA,Daniele Baselli,MF,Como,22,0.2,0,0,0.0,0.0,2,4,0,0,0,88.9,0,0,0,0,1,1,1,31,0,,22,24,0
ng NGA,Calvin Bassey,DF,Fulham,3074,34.2,1,0,1.0,0.1,39,116,15,14,4,89.7,3,3,54,34,20,74,118,2463,15,45.5,1571,1716,26
ci CIV,Aboubacar Bassinga,MF,Las Palmas,4,0.0,0,0,0.0,0.0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,4,0,,3,3,1
it ITA,Alessandro Bastoni,DF,Inter,2333,25.9,1,5,0.8,2.3,62,162,83,12,2,88.4,27,49,46,23,21,67,52,2446,7,43.8,1633,1815,43
ar ARG,Augusto Batalla,GK,Rayo Vallecano,2880,32.0,0,0,0.0,0.0,0,2,0,0,0,66.6,1,1,4,2,0,4,15,1260,6,100.0,769,628,1
be BEL,Michy Batshuayi,FW,Eint Frankfurt,300,3.3,3,0,1.2,0.0,3,8,15,5,3,80.3,1,2,1,1,1,2,0,101,2,28.6,60,67,6
cd COD,Dylan Batubinsika,DF,Saint-Étienne,2016,22.4,1,0,0.8,0.2,11,51,1,7,2,91.4,4,3,26,13,39,65,140,1476,6,66.7,790,974,24
de GER,Maximilian Bauer,DF,Augsburg,658,7.3,0,0,0.2,0.1,4,30,7,1,1,80.9,2,2,14,8,6,20,35,422,0,,216,260,7
de GER,Oliver Baumann,GK,Hoffenheim,2520,28.0,0,0,0.0,1.0,0,1,0,0,0,69.1,3,4,2,2,0,2,15,1147,1,100.0,678,574,0
at AUT,Christoph Baumgartner,MF,RB Leipzig,1610,17.9,2,1,4.5,1.3,37,53,95,39,15,68.2,20,16,44,28,12,56,24,910,17,40.5,438,575,44
es ESP,Rafael Bauza,MF,Espanyol,183,2.0,0,0,0.1,0.0,1,7,3,3,0,85.2,0,1,5,3,0,5,5,74,1,50.0,37,42,8
tr TUR,Altay Bayındır,GK,Manchester Utd,360,4.0,0,0,0.0,0.0,0,0,0,0,0,60.5,0,0,0,0,0,0,9,168,0,,110,103,0
tg TOG,Ihlas Bebou,MF,Hoffenheim,9,0.1,0,0,0.0,0.0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,5,0,,4,5,0
de GER,Adrian Beck,"MF,FW",Heidenheim,1598,17.8,4,1,3.3,1.2,37,69,83,39,13,80.1,21,18,36,17,9,45,17,962,40,53.3,553,584,16
sr SUR,Sheraldo Becker,"FW,MF",Real Sociedad,995,11.1,2,1,2.0,2.0,51,23,110,22,13,63.9,8,17,3,2,1,4,10,384,4,36.4,242,300,8
de GER,Timo Becker,DF,Holstein Kiel,2445,27.2,0,2,1.4,0.8,28,57,38,17,4,77.4,6,9,53,33,17,70,110,1325,12,46.2,588,684,9
pl POL,Jan Bednarek,DF,Southampton,2531,28.1,2,0,0.7,0.5,5,60,2,5,2,92.7,5,1,36,19,56,92,190,2049,3,100.0,1046,1307,31
nl NED,Donny van de Beek,MF,Girona,1421,15.8,2,2,1.5,3.2,17,45,85,18,5,81.7,18,11,29,18,10,39,12,580,6,46.2,281,387,22
de GER,Hannes Behrens,DF,Hoffenheim,29,0.3,0,0,0.0,0.0,0,1,7,0,0,72.7,0,0,1,1,2,3,0,27,1,100.0,13,13,0
de GER,Kevin Behrens,FW,Wolfsburg,170,1.9,1,0,2.3,0.1,2,4,18,9,3,60.8,2,0,1,1,1,2,2,106,0,0.0,41,81,4
de GER,Maximilian Beier,"FW,MF",Dortmund,1591,17.7,8,5,7.7,3.3,24,33,124,42,13,70.5,24,14,25,16,7,32,14,618,22,43.1,338,423,17
es ESP,Luken Beitia,DF,Real Sociedad,8,0.1,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,1,1,0,1,2,7,0,,6,5,0
ma MAR,Ismael Bekhoucha,"MF,DF",Getafe,69,0.8,0,0,0.0,0.0,1,1,1,0,0,70.8,0,0,1,1,2,3,2,35,2,66.7,16,16,3
ma MAR,Reda Belahyane,MF,Hellas Verona,1658,18.4,0,2,0.2,1.0,22,73,13,6,2,83.7,16,10,36,26,10,46,22,884,33,63.5,551,591,31
ma MAR,Reda Belahyane,MF,Lazio,198,2.2,0,0,0.0,0.0,4,10,1,0,0,90.4,0,0,8,6,1,9,5,118,3,50.0,76,82,4
dz ALG,Haris Belkebla,MF,Angers,1792,19.9,0,1,0.1,0.9,8,69,15,3,0,87.6,5,3,56,38,35,91,46,1064,9,40.9,558,686,18
fr FRA,Yassin Belkhdim,MF,Angers,1523,16.9,1,1,0.8,0.6,17,37,31,9,5,80.9,5,3,53,27,21,74,41,702,2,13.3,343,403,28
de GER,Stefan Bell,DF,Mainz 05,1436,16.0,0,1,0.8,1.0,8,38,5,12,3,78.6,5,0,22,12,28,50,107,952,2,33.3,415,484,24
de GER,Armel Bella Kotchap,DF,Southampton,331,3.7,0,0,0.3,0.0,0,5,0,1,0,90.2,0,0,7,5,5,12,21,263,0,0.0,186,192,3
it ITA,Raoul Bellanova,DF,Torino,87,1.0,0,0,0.0,0.1,4,0,5,1,0,72.1,1,0,0,0,0,0,4,51,0,0.0,34,33,1
it ITA,Raoul Bellanova,DF,Atalanta,2402,26.7,0,9,1.1,4.7,83,87,191,18,5,77.3,34,28,24,14,18,42,45,1469,21,43.8,822,940,15
fr FRA,Jean-Ricner Bellegarde,"MF,FW",Wolves,1677,18.6,2,7,1.5,3.8,52,43,89,22,5,79.3,27,18,39,24,10,49,18,843,14,23.0,528,592,31
es ESP,Héctor Bellerín,DF,Betis,580,6.4,0,2,0.2,2.0,3,24,22,1,1,82.3,8,4,13,7,6,19,21,384,6,75.0,212,242,6
eng ENG,Jude Bellingham,MF,Real Madrid,2488,27.6,9,8,11.4,3.9,74,199,143,60,22,86.1,42,31,61,33,28,89,23,1881,41,54.7,1229,1542,33
fr FRA,Jeanuël Belocian,"DF,MF",Leverkusen,68,0.8,0,0,0.0,0.0,0,3,1,0,0,85.0,0,0,1,1,0,1,2,44,1,100.0,16,32,1
it ITA,Andrea Belotti,FW,Como,593,6.6,2,0,2.5,0.4,9,9,33,19,3,75.0,7,1,7,5,1,8,8,185,2,33.3,106,131,9
es ESP,Fran Beltrán,MF,Celta Vigo,2421,26.9,2,1,1.0,1.8,28,152,29,23,4,88.6,15,14,50,35,26,76,34,1711,10,52.6,951,1209,34
ar ARG,Lucas Beltrán,"FW,MF",Fiorentina,1864,20.7,5,4,5.4,3.0,23,64,94,26,6,77.7,29,17,23,10,5,28,14,791,15,50.0,468,592,31
ma MAR,Eliesse Ben Seghir,"MF,FW",Monaco,1750,19.4,6,3,5.5,5.2,85,122,170,58,19,79.3,33,45,31,22,13,44,4,1244,35,36.5,843,988,25
uy URU,Carlos Benavídez,MF,Alavés,487,5.4,1,1,0.3,0.6,4,26,5,5,2,69.4,3,4,19,14,8,27,14,292,4,66.7,147,161,18
pl POL,Adrian Benedyczak,"FW,MF",Parma,214,2.4,0,0,0.3,0.1,3,3,12,3,0,67.3,2,0,0,0,0,0,8,79,0,0.0,44,60,4
sk SVK,László Bénes,"MF,FW",Union Berlin,589,6.5,2,1,0.9,1.0,6,28,34,19,7,67.6,19,11,2,2,3,5,9,400,1,20.0,207,247,9
es ESP,Iker Benito,"FW,MF",Osasuna,37,0.4,0,0,0.0,0.0,2,0,4,0,0,69.2,1,0,0,0,1,1,2,18,0,0.0,8,13,1
dz ALG,Ismaël Bennacer,MF,Milan,300,3.3,0,0,0.1,0.1,8,23,12,3,2,89.1,4,4,5,4,3,8,1,249,9,90.0,156,199,5
dz ALG,Ismaël Bennacer,MF,Marseille,646,7.2,0,2,0.1,1.8,14,72,8,3,0,91.0,13,13,21,10,10,31,2,870,7,63.6,552,722,19
dz ALG,Saïd Benrahma,"FW,MF",Lyon,735,8.2,1,3,2.0,2.1,41,32,109,17,4,72.1,14,19,9,5,3,12,2,447,8,27.6,286,346,6
dz ALG,Ramy Bensebaini,DF,Dortmund,2022,22.5,1,6,1.3,3.2,26,128,58,20,2,86.1,15,19,51,25,33,84,86,1766,5,27.8,941,1094,28
dz ALG,Nabil Bentaleb,MF,Lille,329,3.7,1,0,0.7,0.0,2,23,5,5,1,86.1,1,2,4,3,5,9,7,277,0,,130,203,3
uy URU,Rodrigo Bentancur,MF,Tottenham,1645,18.3,2,0,1.3,0.4,28,100,34,22,5,87.9,10,13,40,22,40,80,38,1302,9,47.4,764,848,34
eng ENG,Daniel Bentley,GK,Wolves,180,2.0,0,0,0.0,0.0,0,0,0,0,0,75.4,0,0,0,0,0,0,1,69,0,,39,26,0
br BRA,Lucas Beraldo,DF,Paris S-G,2011,22.3,1,0,0.9,0.4,9,131,0,12,4,94.4,8,13,38,31,21,59,63,2314,1,100.0,1395,1847,22
es ESP,Yuri Berchiche,DF,Athletic Club,2044,22.7,0,2,0.6,2.2,43,161,66,16,4,84.0,18,15,33,21,27,60,72,1631,6,37.5,775,926,18
es ESP,Álex Berenguer,"FW,MF",Athletic Club,2339,26.0,6,7,6.8,5.0,65,78,216,51,18,65.8,46,28,32,16,10,42,18,1250,33,40.2,643,809,29
no NOR,Sander Berge,MF,Fulham,2224,24.7,0,0,0.4,0.6,29,124,9,3,1,91.5,18,5,50,30,21,71,38,1384,11,55.0,804,892,31
se SWE,Lucas Bergvall,MF,Tottenham,1212,13.5,0,1,0.7,0.6,33,49,31,12,2,87.4,11,7,39,19,24,63,22,885,21,46.7,531,586,20
al ALB,Medon Berisha,MF,Lecce,716,8.0,0,1,0.7,0.6,13,42,17,24,6,78.0,11,6,12,8,11,23,5,486,3,33.3,279,315,16
de GER,Mergim Berisha,"FW,MF",Hoffenheim,333,3.7,1,1,1.0,1.0,2,7,18,11,3,69.6,3,2,3,3,0,3,3,93,3,37.5,60,69,5
de GER,Mergim Berisha,FW,Augsburg,40,0.4,0,0,0.2,0.0,2,0,8,3,1,66.7,0,0,1,0,0,1,0,18,0,,11,14,2
es ESP,Adrian Bernabe,MF,Parma,1453,16.1,1,1,1.3,1.1,37,115,20,27,5,83.6,22,17,29,18,7,36,26,1140,15,45.5,738,818,9
es ESP,Marc Bernal,MF,Barcelona,242,2.7,0,0,0.1,0.0,0,8,2,2,1,92.5,1,0,8,6,1,9,4,184,2,66.7,97,137,4
br BRA,Bernardo,DF,Bochum,1782,19.8,0,0,0.7,0.7,14,100,14,8,2,73.7,4,11,46,28,26,72,103,1249,3,60.0,630,693,24
es ESP,Juan Bernat,"DF,MF",Villarreal,212,2.4,0,1,0.3,0.4,4,8,23,2,1,77.7,4,1,9,7,1,10,4,160,3,37.5,83,100,0
es ESP,Juan Bernat,"MF,DF",Getafe,699,7.8,0,1,0.1,0.7,2,14,36,4,0,71.7,7,7,19,13,2,21,12,291,12,52.2,148,158,11
fr FRA,Maxime Bernauer,DF,Saint-Étienne,763,8.5,0,0,0.1,0.0,7,41,0,2,0,88.1,1,2,9,9,5,14,44,541,2,66.7,327,380,10
fr FRA,Antoine Bernede,MF,Hellas Verona,594,6.6,1,0,0.8,0.5,7,29,22,4,2,73.6,10,6,15,8,5,20,3,297,2,50.0,156,179,16
se SWE,Alexander Bernhardsson,"FW,MF",Holstein Kiel,1263,14.0,7,2,4.1,1.3,25,33,72,27,14,60.5,17,10,29,15,5,34,25,520,22,41.5,264,304,21
dk DEN,Victor Bernth Kristiansen,DF,Leicester City,2482,27.6,0,1,0.3,1.4,40,70,78,3,0,77.4,18,23,87,51,42,129,75,1614,8,44.4,816,887,19
sk SVK,Matúš Bero,MF,Bochum,2565,28.5,5,2,4.0,3.7,29,143,111,31,12,67.9,54,35,65,35,17,82,35,1619,19,34.5,736,833,50
